first_field;image_html;french;french_audio_html;spanish
shallow - french;"<img src=""vocab-shallow.jpg"">";peu profond;[sound:vocab-french-peu profond.mp3];superficial
she - french;"<img src=""vocab-she.jpg"">";elle;[sound:vocab-french-elle.mp3];ella
ship - french;"<img src=""vocab-ship.jpg"">";bateau;[sound:vocab-french-bateau.mp3];embarcacion
shirt - french;"<img src=""vocab-shirt.jpg"">";chemise;[sound:vocab-french-chemise.mp3];camisa
shoes - french;"<img src=""vocab-shoes.jpg"">";chaussures;[sound:vocab-french-chaussures.mp3];zapatos
shoot - french;"<img src=""vocab-shoot.jpg"">";tirer;[sound:vocab-french-tirer.mp3];disparar
short (length) - french;"<img src=""vocab-short (length).jpg"">";court;[sound:vocab-french-court.mp3];corto
short (stature) - french;"<img src=""vocab-short (stature).jpg"">";petit;[sound:vocab-french-petit.mp3];bajo
shoulder - french;"<img src=""vocab-shoulder.jpg"">";épaule;[sound:vocab-french-épaule.mp3];hombro
sick - french;"<img src=""vocab-sick.jpg"">";malade;[sound:vocab-french-malade.mp3];enfermo
side - french;"<img src=""vocab-side.jpg"">";côté;[sound:vocab-french-côté.mp3];lado
sign (indication) - french;"<img src=""vocab-sign (indication).jpg"">";panneau;[sound:vocab-french-panneau.mp3];signo
sign (write) - french;"<img src=""vocab-sign (write).jpg"">";signer;[sound:vocab-french-signer.mp3];firmar
silver - french;"<img src=""vocab-silver.jpg"">";argent;[sound:vocab-french-argent.mp3];plata
sing - french;"<img src=""vocab-sing.jpg"">";chanter;[sound:vocab-french-chanter.mp3];cantar
sister - french;"<img src=""vocab-sister.jpg"">";sœur;[sound:vocab-french-sœur.mp3];hermana
sit - french;"<img src=""vocab-sit.jpg"">";s'asseoir;[sound:vocab-french-s'asseoir.mp3];sentar
six - french;"<img src=""vocab-six.jpg"">";six;[sound:vocab-french-six.mp3];seis
sixteen - french;"<img src=""vocab-sixteen.jpg"">";seize;[sound:vocab-french-seize.mp3];dieciséis
sixty - french;"<img src=""vocab-sixty.jpg"">";soixante;[sound:vocab-french-soixante.mp3];sesenta
skin - french;"<img src=""vocab-skin.jpg"">";peau;[sound:vocab-french-peau.mp3];piel
skirt - french;"<img src=""vocab-skirt.jpg"">";jupe;[sound:vocab-french-jupe.mp3];falda
sky - french;"<img src=""vocab-sky.jpg"">";ciel;[sound:vocab-french-ciel.mp3];cielo
sleep - french;"<img src=""vocab-sleep.jpg"">";dormir;[sound:vocab-french-dormir.mp3];dormir
slow - french;"<img src=""vocab-slow.jpg"">";lent;[sound:vocab-french-lent.mp3];lento
small - french;"<img src=""vocab-small.jpg"">";petit;[sound:vocab-french-petit.mp3];pequeño
